"airport_name","link","title","author","author_country","date","content","experience_airport","date_visit","type_traveller","overall_rating","queuing_rating","terminal_cleanliness_rating","terminal_seating_rating","terminal_signs_rating","food_beverages_rating","airport_shopping_rating","wifi_connectivity_rating","airport_staff_rating","recommended"
"aarhus-airport","/airport-reviews/aarhus-airport","Aarhus Airport customer review","Paul Hastie","","2004-11-29","Nice small friendly airport. Good transport links to the city by bus which meets flights and plenty of taxis. A few shops and cafes and very clean facilities.","","","","","","","","","","","","","0"
"aberdeen-airport","/airport-reviews/aberdeen-airport","Aberdeen Airport customer review","John Murphy","United Kingdom","2015-07-21","This airport gets worse on a monthly basis. They have spent 3 million pounds on a new front door when it needs bigger and up to date security. Anymore than one plane makes the queue terrible. Arrivals is so small you queue outside if you are sat at the back of the plane and then wait for the smallest baggage belt I have ever seen (I travel every week). It is by far the poorest airport I have had the unfortunate pleasure to use. I recommend using Edinburgh and commuting!","Arrival and Departure","21-06-2015","Business","2.0","1.0","3.0","1.0","","2.0","1.0","2.0","","0"
"aberdeen-airport","/airport-reviews/aberdeen-airport","Aberdeen Airport customer review","M Cristea","Romania","2015-06-24","Small airport, our arrival was on Saturday, June 13, 10:30 PM. Unfortunately, there were three planes landed at the same time approx, and ours was the third, So we had to wait in lane in a crowded tiny corridor for frontier controls, but staff was efficient. Than we stayed in lane to get a taxi to reach city center for 45 mins. Departure was on Monday, June 22, at 12:10 PM, much better, smooth drop-off and security controls, no problem. Limited offer for eat/ drink and shopping, not overpriced, The Granite-City Restaurant in the main hall seemed to be OK! ","Arrival and Departure","24-06-2015","FamilyLeisure","8.0","2.0","4.0","3.0","","2.0","3.0","2.0","","1"
"aberdeen-airport","/airport-reviews/aberdeen-airport","Aberdeen Airport customer review","P Reid","United Arab Emirates","2015-04-01","I've been coming through Aberdeen airport for a few years now and can't figure out how they can be so lethargic in making drastically-needed changes to improve passenger experience except of course where it can make them money like the new drop-off charge! Flew in last week from Amsterdam and used the Arrivals toilet which was more like a construction site portaloo cabin; cramped and unpleasant not a great welcome for visitors. Then leaving on an early flight on Saturday no food or drink facilities open landside queued for over 20mins to go through the security scanner (note this was at 5am for only the 2nd flight of the day) to find only 1 scanner in operation. Made it through for final boarding call so no breakfast for me! They really are kidding themselves calling it an international airport for the ""Oil capital of Europe"". I know many Aberdonians are ashamed of their airport and justifiably so.","","","","1.0","1.0","3.0","","","","2.0","","","0"
"aberdeen-airport","/airport-reviews/aberdeen-airport","Aberdeen Airport customer review","M Stewart","United Kingdom","2015-03-24","Airport is small and convenient when flights can actually leave and the check in and security I experienced were fine. The airport lounges are OK too if you are frequent flyer. However the airport is not equipped for all weather flights apparently the runway is too short so delays or cancellations due to weather (a little bit of fog) occur as happened the only 2 times I visited and I understand this is not infrequent. A taxi driver who took me to a hotel (which I paid for myself) told me that when delays occur all the local hotels are full so I had to find a hotel way out of Aberdeen. The positive side for taxi drivers is that the one who took me said he'd had a passenger who was so desperate to get to Heathrow he paid Â£1000 (yes one thousand GBP) to get there. They staff at BA with whom I'd flown are unable to cope with queues very long at desks. Its more like a third world airport in that respect. One would have thought that with the importance of the oil industry etc that arrangements would have been made to improve capacity and capability.","","","","2.0","4.0","4.0","","","","3.0","","","0"
"aberdeen-airport","/airport-reviews/aberdeen-airport","Aberdeen Airport customer review","B Biscuit","United Kingdom","2014-12-21","Aberdeen is my local airport for 40 years and has grown from a quaint airfield to a merely adequate airport. Facilities are only ok you don't want to be hanging around any longer than strictly necessary. The food (you can't call it dining) options are very poor and very expensive by any airport standard. Then the transport links which are a whole subject on their own but the next bit is typical. If you have a late flight don't rely on getting a taxi as the drivers tend to just go home when they've made enough money to go golfing. Also don't ask them to go too far more than 15 miles into the country as that is too much bother for them and they will turf you out of their car even at 23.30hrs. If you can get basic civility from them then you're lucky. Opening the boot for you is a special treat. £16 for about 7 miles is the fare but they will take £20 from you. The 727 bus is fine but you can have a half hour wait in the freezing ""shelter"" and it only runs to the city centre and ends at 22.30(?). Long term (more than a day) off site parking is really your best/only option. Aberdeen where they built the terminal on the opposite side of the airport to the train station to give taxi drivers a job.","","","","2.0","3.0","3.0","","","","2.0","","","0"
"aberdeen-airport","/airport-reviews/aberdeen-airport","Aberdeen Airport customer review","Phil Lee","United Kingdom","2014-12-21","Waiting for security check is a nightmare here don't understand why this airport is not taking measures to improve the wait time for passengers.","","","","","1.0","3.0","","","","0.0","","","0"
"aberdeen-airport","/airport-reviews/aberdeen-airport","Aberdeen Airport customer review","Fred Singer","United Kingdom","2014-11-12","Truly awful airport. Toilets in airside arrivals are porta cabins! Baggage handling facilities very primitive. If delayed passenger seating virtually non existent. Eating facilities poor and very expensive. Security checks must be the slowest anywhere. Aberdeen is supposed to be Europe's oil capital? Well it's about time they had a decent airport.","","","","1.0","2.0","3.0","","","","1.0","","","0"
"aberdeen-airport","/airport-reviews/aberdeen-airport","Aberdeen Airport customer review","N Sutherland","United Kingdom","2014-10-05","I believe 2013 was a record year for ABZ in terms of passenger numbers 2014 is up on that - and it shows. Dreadful crowding - airside landside check-in baggage handling security passenger facilities - everything is operating at way beyond its design capacity. Happily I only have to spend an hour there on Departure and 30 mins on Arrival. I feel sorry for the people who have to work there.","","","","3.0","2.0","3.0","","","","2.0","","","0"
"aberdeen-airport","/airport-reviews/aberdeen-airport","Aberdeen Airport customer review","Justin Johnson","United Kingdom","2014-09-06","As a regular user of Aberdeen airport I can safely say its one of the worse airports I have experienced the toilets airside are disgusting and usually smell quite appalling also the Servisair lounge is extremely poor and the choice of snacks / food is very basic considering the amount of footfall and the claim of international status it is extremely poor. Security and baggage reclaim is inefficient and far too small.","","","","2.0","2.0","3.0","","","","2.0","","","0"
"aberdeen-airport","/airport-reviews/aberdeen-airport","Aberdeen Airport customer review","S Ritchie","United Kingdom","2014-08-26","I find trying to book flights virtually anywhere out of Aberdeen nigh on impossible. You used to be able to get to many destinations with one stop in London - technically impossible now thanks to BA dropping Aberdeen to London Gatwick. The only route to Gatwick is EasyJet which has two flights a day as far as I can see which will fleece you for your long haul cases and not give you any guarantee for your onward flight. This level of service to a supposedly international airport is a joke. The international arrivals ""area"" is dirty cramped and there is nowhere to sit. You have to try to stay out of the way of the crowds waiting for their luggage. You can't see people coming you have to loiter around a small corner. It's truly bizarre and the most unwelcoming arrival area I've ever seen in an airport. The luggage belts are in desperate need of an addition. It's all well and good have a nicer departures lounge and fancy coffee but where precisely are we meant to be flying? Having to walk onto the Tarmac in wind and rain or even better snowy conditions to haul your case up a flight of stairs does not exactly make for a modern airport facility. The check in desks are under-served and the security slow at busy times. The only good thing is that security and customs are actually nice here unlike everywhere else!","","","","1.0","1.0","3.0","","","","2.0","","","0"
"aberdeen-airport","/airport-reviews/aberdeen-airport","Aberdeen Airport customer review","S Fraser","United Kingdom","2014-07-20","We arrived for a holiday and had to stay in a queue for an hour and a half this is totally unacceptable. I've been to a few airports and this one is the worst by far. We can only travel to a very few destinations and I gather this is because of the cost of landing here. The whole area is small and there are very few shops - if this is because of Aberdeen Council then they really need to open their eyes and see how other airports are run. People in Aberdeen don't want to travel to Edinburgh or Glasgow to go on holiday but they have no option - this needs to be sorted out. I've also recently heard that the flights from Aberdeen to London are being cut and Edinburgh and Glasgow are getting extra.","","","","","1.0","4.0","","","","2.0","","","0"
"aberdeen-airport","/airport-reviews/aberdeen-airport","Aberdeen Airport customer review","M Ferguson","United Kingdom","2014-06-12","One luggage carousel poor quality and expensive food airside. What more can I say. On the plus side it is clean and there are tables in security to help you sort out shoes jacket liquids laptop but the area is very small. The seating in the gate area is not that comfortable most often you get on and off the plane by steps-rarely an airbridge as in many other airports. The addition of the multi storey carpark indicates extra footfall and the check in queues have been alleviated by the move of the BA desks round the corner but the airport has a long way to go!","","","","3.0","3.0","4.0","","","","2.0","","","0"
"aberdeen-airport","/airport-reviews/aberdeen-airport","Aberdeen Airport customer review","Leslie Forbes","United Kingdom","2013-09-02","On Sunday 1st September I arrived at Aberdeen Airport from London. The Journey took about an hour and ten minutes which is about the usual time. On arrival I could not get anywhere near the baggage re-claim area due to a huge backlog and crowds of people. It then took me and most everyone else 1 hour and 10 minutes to get our bags from the arrivals hall. How this can this be called an International airport beats me! It really is an embarrassment.","","","","","1.0","4.0","","","","1.0","","","0"
"aberdeen-airport","/airport-reviews/aberdeen-airport","Aberdeen Airport customer review","Leslie Forbes","United Kingdom","2013-04-24","Just back into Aberdeen Airport from Zurich via Amsterdam. Both of these Airports have great transport links using trams and trains. Aberdeen and Zurich can't be compared of course on size but the cramped and disgusting toytown railcar at the wrong end of the airport is hardly suitable. In both of these airports and at most others you can get a trolley for your bag without needing a coin. Last night I along with many other newcomers to Aberdeen I arrived before 10 to find trolleys all chained up and the bar closed. Do all foreign visitors have a pound coin ready for their trolley?","","","","","3.0","4.0","","","","1.0","","","0"
"aberdeen-airport","/airport-reviews/aberdeen-airport","Aberdeen Airport customer review","S Davidson","United Kingdom","2013-03-26","I wish to echo the sentiments expressed in the review by Marion Johnston. The flight options to common holiday destinations like Tenerife etc are abysmal from Aberdeen Airport. Unless you are going on an overpriced package deal with Thomas Cook Thomson's etc and book around 8-12 months in advance you're only other option is a convoluted chain of flights transfers and even overnight hotels via Edinburgh Glasgow or London. I know of many other people from Aberdeen who concur. The runway extension is obviously a start for greater potential but I'm not seeing a greatly populated list of destinations to boot!","","","","3.0","3.0","5.0","","","","4.0","","","0"
"aberdeen-airport","/airport-reviews/aberdeen-airport","Aberdeen Airport customer review","Marion Johnston","United Kingdom","2012-09-28","I am fed up of taking the bus to Edinburgh or Glasgow to get a flight to the Costa Blanca because there is nothing from Aberdeen. I travel at least 5 times each year and know many other people who do the same. Every time I fly from Edinburgh of Glasgow I meet people from the North East of Scotland. Jet2.com Easyjet Ryanair Thomson Airways and Thomas Cook all put on flights from Edinburgh and/or Glasgow - sometime several flights a day leave to Alicante and flights are available all year round. How can Aberdeen airport not justify 1 flight per week to Alicante all year round? The airport is in the dark ages and cannot get past the mentality of providing an airport that is for business use only.","","","","2.0","3.0","4.0","","","","3.0","","","0"
"aberdeen-airport","/airport-reviews/aberdeen-airport","Aberdeen Airport customer review","El Mac","United Kingdom","2012-05-29","As a regular business traveller commuting between Manchester and Aberdeen I can truly say that the customer experience at Aberdeen Airport has deteriorated rapidly. Issues with Airlines and the haphazard Taxi services aside and there are plenty Aberdeen Airport is clearly struggling to cope with increased passenger traffic particularly as the Summer holiday season commences. The Security experience has to be seen to be believed the security queue winds its way through what can only be described as a chicane to the first point where an airport employee scans your boarding pass 10-15 minutes later you emerge into the Security Hall. Often undermanned this has 3 scanners 2 of which are in operation. With no control the queue effectively crowds pushing you forward until your turn to disrobe comes. Once through Security you're then funnelled through Duty Free and into the Airside 'Lounge' - not the most welcoming of places. If you're travelling with colleagues or as a family forget being able to hold a conversation. Every airline makes constant announcements there is the obligatory Pre-Board but that is followed by constant reminders as boarding begins with the frequent call for 'lost' passengers. On the subject of size Aberdeen has plans to expand. One could say grand plans but if they can't cope at the moment what hope is there for the traveller? The facilities within Aberdeen effectively close down from 20.30 making for a miserable experience if you're unfortunate to suffer the all too frequent delay.","","","","2.0","1.0","3.0","","","","2.0","","","0"
"aberdeen-airport","/airport-reviews/aberdeen-airport","Aberdeen Airport customer review","Nigel Stacey","United Kingdom","2012-04-24","Not too bad it was easy to check-in. One thing I found strange was the baggage conveyer came out near the entrance to the airport. There are a few places to get a drink and a bite to eat. To get into Aberdeen the station is a bus or taxi journey away from the terminal itself. There are a couple of hotels close by but they are a bit pricey. All in all it I not too bad could do with a bit of a make over.","","","","8.0","4.0","3.0","","","","3.0","","","1"
"aberdeen-airport","/airport-reviews/aberdeen-airport","Aberdeen Airport customer review","Alistair Peckham","United States","2012-04-22","Security efficient. Fire alarm went off just a few minutes before expected time of boarding. Meant exiting the terminal and going land-side. Fire service took 15 mins to arrive. Airport staff very professional and efficient once re-entry to the airport. Security was very fast efficient with passengers with flights boarding having priority and being called forward. Departure was delayed just over an hour.","","","","7.0","4.0","5.0","","","","4.0","","","1"
"aberdeen-airport","/airport-reviews/aberdeen-airport","Aberdeen Airport customer review","T Collier","United Kingdom","2012-02-15","I really do wonder why Aberdeen have so many check-in desks (for BA flights) when they don't bother opening them! Had to wait near enough 30 minutes to check luggage in for it to go in the hold and made me wish I hadn't bothered! Security was very quiet thankfully so that was easy to negotiate. Ordered a burger at the bar post security and it took over 20 minutes for it to arrive - very frustrating when the place was dead and you can see the plane you are about to get on come in to land! Thankfully I did have time to quickly eat it just before heading to the gate.","","","","5.0","1.0","3.0","","","","2.0","","","0"
"aberdeen-airport","/airport-reviews/aberdeen-airport","Aberdeen Airport customer review","M Creed","United Kingdom","2011-12-28","Having battled dreadful weather conditions overnight through the Scottish Highlands I eventually arrived at the airport 10 minutes before my morning flight was due to leave. Faced with an enormous queue to get through security I asked possibly the most sour and rude security woman I've ever met on the gate if she could rush me through. I received a lecture informing me I should leave more time to get to the airport and to stay where I was in the queue. Fortunately people already in the queue heard the nasty mean spirited diatribe I received and ushered me to the front of the security queue and I did get my flight (which luckily was delayed 10 minutes anyway). A thoroughly unpleasant and distressing experience. My first and last flight from Aberdeen.","","","","","1.0","1.0","","","","1.0","","","0"
"aberdeen-airport","/airport-reviews/aberdeen-airport","Aberdeen Airport customer review","Kathleen Lawrie","Spain","2011-12-23","I travel to Aberdeen from Spain and have to rely on buses from Glasgow or Edinburgh. If Aberdeen is such a good airport why are there no flights from Alicante Murcia or Almeria to Aberdeen. We used to be able to fly with Flyglobespan and it was excellent. Please make it easier for us to come to Aberdeen to visit our family.","","","","","0.0","0.0","","","","0.0","","","0"
"aberdeen-airport","/airport-reviews/aberdeen-airport","Aberdeen Airport customer review","Mark Brewer","United Kingdom","2011-07-21","Aberdeen airport works well most of the time. The only thing I can see that really lets the place down is the lack of toilet facilities air side. It's not unusual here to see queues of 8 or 9 in a gents toilet as was the case on a Saturday morning in July recently. This is something that really does need sorting out as other aspects of the airport are largely perfectly adequate.","","","","4.0","5.0","5.0","","","","3.0","","","0"
"aberdeen-airport","/airport-reviews/aberdeen-airport","Aberdeen Airport customer review","S Reid","","2010-04-02","Avoid this airport on outbound flights in the afternoon particularly on Friday. Allow up to 1hr for the security screening process. You can pay an additional £5 to jump to the top of the security queue. I have not seen this at any other airport. Staff are friendly but another one/two security screening stations are required to cope at peak times. The luggage arrivals belt is small and if three flights land at once you scramble for your bags. On exiting the airport the smokers are just outside the door with the discarded cigarette ends on the pavement. Not a very nice welcome to Aberdeen. If you have the option avoid this airport or use it out of peak hours - not easy due to the remote location. I have recently used Terminals 3/4 and 5 at Heathrow and Aberdeen Airport is worse than these.","","","","1.0","","","","","","","","","0"
"aberdeen-airport","/airport-reviews/aberdeen-airport","Aberdeen Airport customer review","E Douglas","","2009-12-28","International arrivals tiny baggage retrieval approx 15 mins Rail link non existant bus services limited taxis expensive. Airport clean and tidy good choice of car hire.","","","","3.0","","","","","","","","","0"
"aberdeen-airport","/airport-reviews/aberdeen-airport","Aberdeen Airport customer review","B Hewitt","","2008-06-12","Arrival okay bags quickly through departure left from a gate which had only 6 seats so passengers had to stand in a very narrow corridor. Which was not pleasant on a hot day.","","","","2.0","","","","","","","","","0"
"aberdeen-airport","/airport-reviews/aberdeen-airport","Aberdeen Airport customer review","Marybeth Richards","","2007-07-14","Pocket sized airport that seems to be bursting at the seams at times. Waited 15 minutes for bags to start to appear on the belt after a flight from LHR - unusual as the place really isn't that big. Better bus connections to the city centre would be great. but not likely to happen. On the whole not a bad little airport.","","","","4.0","","","","","","","","","0"
"aberdeen-airport","/airport-reviews/aberdeen-airport","Aberdeen Airport customer review","Ken Taylor","","2007-05-19","Vast improvement in security screening procedures ( in terms of their ability to cope). Still a couple of surly staff who need retrained. Home Office bloke checking passports on the way back in is much nicer than he used to be and even managed a smile !","","","","4.0","","","","","","","","","0"
"aberdeen-airport","/airport-reviews/aberdeen-airport","Aberdeen Airport customer review","Iain Williamson","","2007-03-24","I've been using Aberdeen airport infrequently over the last ten years. The staff remain the friendliest and most polite I've seen in any airport and there is something exhilirating and about coming into this Northern city usually in a small aircraft bouncing in through high winds. The small airport usually allows for quick access to bus or taxi. Waiting for a bus can take some time though. The airport retains a nice atmosphere overall and is always clean.","","","","","","","","","","","","","0"
"aberdeen-airport","/airport-reviews/aberdeen-airport","Aberdeen Airport customer review","Iain Cowe","","2006-11-15","As a very regular passenger through Aberdeen Airport I can see that BAA have put in a lot of time and money expanding and re-shaping their departures area which has resulted in a nicer experience for passengers departing ABZ. The staff are efficient and friendly if sometimes a bit harassed but they cope admirably. Unfortunately the same is not experienced by international passengers arriving in the airport. The staff are good but in this day and age with ABZ trying to attract more international flights one tiny international arrivals area is not really sufficient. ABZ has international flights departing almost on top of one another at various times during the day and for each departure - you guessed it there's an arrival. I have experienced on many occasions being forced to wait outside the arrivals area in nothing more than a covered walkway while the previous plane load of passengers clear the immigration area and pass into baggage reclaim (the same room). Once in all international flights have one carousel for baggage which can sometimes have 2 or 3 planeloads (anything from EMB145s to B737s) of passengers round it. All in all not a great effort from Aberdeen Airport however it has served the North-East of Scotland and the North Sea oil industry very well over the years. I hope they go on doing so in the future but the management there really need to look at what they are going to do with extra passengers as their numbers will inevitably increase.","","","","","","","","","","","","","0"
"aberdeen-airport","/airport-reviews/aberdeen-airport","Aberdeen Airport customer review","Tim Jones","","2006-10-26","A bit chaotic due to extension work but very efficient going through security. Food ok and not too bad pricewise. Smoking is outside at either end of the terminal (bus shelters placed for bad weather) but most people just stood outside front door and it looked very messy - BAA staff doing nothing about it. Quick for getting bags through from the aircraft which is useful. Also at rush hour might be a good idea to pre- book a cab - they were overwhelmed!","","","","","","","","","","","","","0"
"aberdeen-airport","/airport-reviews/aberdeen-airport","Aberdeen Airport customer review","Gordon Wiseman","","2006-10-11","Used Aberdeen airport to fly to and back from to Amsterdam. The customer service at the airport was of a high standard and public transport to the city centre is reliable. Would gladly use Aberdeen again to travel domestically or to continental Europe. The recent news that weekly flights to popular destinations in Portugal and Spain will be available soon will also add to the appeal of this airport for travellers from Northern Scotland.","","","","","","","","","","","","","0"
"aberdeen-airport","/airport-reviews/aberdeen-airport","Aberdeen Airport customer review","Steve Ward","","2006-09-15","The only real choice if flying to Aberdeen! Overall OK but very limited choice of food and shopping. Staff are friendly and queues generally short.","","","","","","","","","","","","","0"
"aberdeen-airport","/airport-reviews/aberdeen-airport","Aberdeen Airport customer review","Matthew Ross","","2006-08-25","Aberdeen Airport is fairly good and efficient but with some room for improvement. I recently flew to the Faroe Islands on Atlantic Airways. On the return the luggage took a very long time to arrive; also there was confusion at the passport control over the status of green Faroese passports with many passengers standing in the wrong queue. This created a negative first impression for visitors; attention to detail and clearer signage is necessary. A more important concern is the inadequate bus service (route 27) between the airport and the city centre. It is very poorly marketed infrequent and does not run at all at weekends - leading to a massive queue for taxis. A regular shuttle bus between the airport university (Old Aberdeen) city centre and the railway station is needed.","","","","","","","","","","","","","0"
"aberdeen-airport","/airport-reviews/aberdeen-airport","Aberdeen Airport customer review","William Callaghan","","2006-08-13","Overall nice small airport with good connections to major hubs in Europe such as London (Heathrow/Gatwick/Luton) Amsterdam and Paris CDG. Also has flights to most major UK destinations. I found that travelling through the airport was relatively quick and hassle-free. Good bus service to the city centre which is about 10 km from the aiport and reasonably priced. Would recommend this airport to anyone living in the North of Scotland as an alternative to GLA/EDI. Further considerations for this small but expanding aiprt would be to add services to Spain and Italy as well as to some Central European cities such as Berlin/Prague/Warsaw.","","","","","","","","","","","","","0"
"aberdeen-airport","/airport-reviews/aberdeen-airport","Aberdeen Airport customer review","A Lamont","","2006-03-05","ABZ is a convenient airport with ever-improving routes to and fro. Work has begun on modernising the airport and there are more plans in the pipeline. ABZ is convenient and reliable. The only thing you can't rely on is the weather there. That is the biggest problem with ABZ and there isn't much that can be done about it.","","","","","","","","","","","","","0"
"aberdeen-airport","/airport-reviews/aberdeen-airport","Aberdeen Airport customer review","Ron Dickie","","2006-01-29","Hopefully the new airport manager will manage to drag the airport in the 21st century. The new Servisair lounge for KLM/AF etc is a great leap forward although the suede chairs I feel may suffer from high mileage usage through a relatively short time frame. AF need to have a larger presence at check-in and these Servis air check-in crew need to be trained on how to put mileage onto a frequent flyer card even when I say ""have you done it"" they say ""yes"". I log in (around a month later) to find that my mileage has not been credited. As a local I shouldn't really gripe but on the whole both air side and land side it could be a lot better. Maybe a trip to some of the Scandinavian airports would get their creative side into drive.","","","","","","","","","","","","","0"
"aberdeen-airport","/airport-reviews/aberdeen-airport","Aberdeen Airport customer review","Dave Aiton","","2005-11-30","I have used Aberdeen International Airport extensively through the years and found it to be out of date and touch with modern international and domestic commuter travel the quality of the departure lounges are very poor and the delays when returning from international flights is disgraceful the baggage collection system whether domestic or international is pathetic.","","","","","","","","","","","","","0"
"aberdeen-airport","/airport-reviews/aberdeen-airport","Aberdeen Airport customer review","Steve Gavigan","","2005-10-20","I have used Aberdeen Airport several times in the last couple of years and have not had any problems. Everything works properly and the staff are very friendly. The security checks at the departure lounge are most thorough.","","","","","","","","","","","","","0"
"aberdeen-airport","/airport-reviews/aberdeen-airport","Aberdeen Airport customer review","Rob Wallace","","2005-04-23","When will they do something about the taxi rank? Its a little hut that holds about 40 people - often the queue stretches well outside - and at Aberdeen that is not a good idea. They also have sold the concession to one company so that other firms having dropped people off cannot pick up so you are stuck waiting for the chosen people to arrive.","","","","","","","","","","","","","0"
"aberdeen-airport","/airport-reviews/aberdeen-airport","Aberdeen Airport customer review","Jane Newman","","2005-03-26","I use Aberdeen Airport frequently and am impressed with it. It's a small airport but seems to have everything to cope with its passenger flow. I definitely recommend the newly refurbished 'Food Hub' restaurant where the staff are very friendly and courteous. There is always a hot food menu with different choices to suit everyone a selection of sandwiches and delicious home-bakes - I always look forward to my meal there before I fly home!! The airport has gone through a lot of changes recently such as the larger renovated toilets the new 'Coral' betting shop and the new departures layout.","","","","","","","","","","","","","0"
"aberdeen-airport","/airport-reviews/aberdeen-airport","Aberdeen Airport customer review","Kevin Yates","","2004-10-05","I fly in and out of Aberdeen Dyce airport a lot and have seen a marked improvement over recent weeks. Larger toilet facilities at arrivals (where their was only 1 for men and 1 for women). KLM has vastly improved it's check in facilities with usually 4-5 servis air staff in attendance. Departure lounge 1 has been improved with more seating. It could how ever improve it's lost luggage office (a real mess) which you will need to visit if you fly KLM often. Security entrance to departure lounge has changed as well with two baggage scanners (1 only ever in use though) and one personal scanner which is the bottle neck and leads to delays. All in all though Aberdeen airport is fine.","","","","","","","","","","","","","0"
"aberdeen-airport","/airport-reviews/aberdeen-airport","Aberdeen Airport customer review","Jordan Dias","","2004-07-28","Nice small friendly airport with helpful staff. Not much to do there but the shops are ok and not crowded.","","","","","","","","","","","","","0"
"abidjan-airport","/airport-reviews/abidjan-airport","Abidjan Airport customer review","Anoma Yao","","2014-06-30","Small airport but modern and clean facility. No hustlers in the terminal unlike in most African airports. Not much queuing at check-in immigration and security. Air-conditioning functions toilets are clean airbridges and no pax busses but poor amenities: no wifi tiny duty free zone and unattractive lounge.","","","","8.0","5.0","5.0","","","","2.0","","","1"
